"Administrative","Administrative_Duration","Informational","Informational_Duration","ProductRelated","ProductRelated_Duration","BounceRates","ExitRates","PageValues","SpecialDay","Month","OperatingSystems","Browser","Region","TrafficType","VisitorType","Weekend","Revenue","TotalPages","TotalDuration","EngagementRatio","BounceExitSpread","SessionScore","Season","DurationGroup","Cluster"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","1","1","1","1","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,2,64,0,0.1,0,0,"Feb","2","2","1","2","Returning_Visitor","FALSE","FALSE",2,64,0,0.1,0,"Winter","Short","4"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","4","1","9","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,2,2.666666667,0.05,0.14,0,0,"Feb","3","2","2","4","Returning_Visitor","FALSE","FALSE",2,2.666666667,0,0.09,0,"Winter","Short","4"
0,0,0,0,10,627.5,0.02,0.05,0,0,"Feb","3","3","1","4","Returning_Visitor","TRUE","FALSE",10,627.5,0,0.03,0,"Winter","Medium","4"
0,0,0,0,19,154.2166667,0.015789474,0.024561404,0,0,"Feb","2","2","1","3","Returning_Visitor","FALSE","FALSE",19,154.2166667,0,0.00877193,0,"Winter","Short","4"
0,0,0,0,1,0,0.2,0.2,0,0.4,"Feb","2","4","3","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
1,0,0,0,0,0,0.2,0.2,0,0,"Feb","1","2","1","5","Returning_Visitor","TRUE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,2,37,0,0.1,0,0.8,"Feb","2","2","2","3","Returning_Visitor","FALSE","FALSE",2,37,0,0.1,0,"Winter","Short","2"
0,0,0,0,3,738,0,0.022222222,0,0.4,"Feb","2","4","1","2","Returning_Visitor","FALSE","FALSE",3,738,0,0.022222222,0,"Winter","Medium","2"
0,0,0,0,3,395,0,0.066666667,0,0,"Feb","1","1","3","3","Returning_Visitor","FALSE","FALSE",3,395,0,0.066666667,0,"Winter","Medium","4"
0,0,0,0,16,407.75,0.01875,0.025833333,0,0.4,"Feb","1","1","4","3","Returning_Visitor","FALSE","FALSE",16,407.75,0,0.007083333,0,"Winter","Medium","2"
0,0,0,0,7,280.5,0,0.028571429,0,0,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",7,280.5,0,0.028571429,0,"Winter","Short","4"
0,0,0,0,6,98,0,0.066666667,0,0,"Feb","2","5","1","3","Returning_Visitor","FALSE","FALSE",6,98,0,0.066666667,0,"Winter","Short","4"
0,0,0,0,2,68,0,0.1,0,0,"Feb","3","2","3","3","Returning_Visitor","FALSE","FALSE",2,68,0,0.1,0,"Winter","Short","4"
