"Country","Year","InternetUsersPer100"
"Africa Eastern and Southern","2008",3
"Africa Western and Central","2008",5
"East Asia & Pacific","2008",25.2
"East Asia & Pacific (excluding high income)","2008",19.2
"East Asia & Pacific (IDA & IBRD countries)","2008",19.5
"Europe & Central Asia","2008",48.1
"Europe & Central Asia (excluding high income)","2008",20.6
"Europe & Central Asia (IDA & IBRD countries)","2008",28.2
"Fragile and conflict affected situations","2008",5.3
"High income","2008",64
"IBRD only","2008",17.1
"IDA & IBRD total","2008",14
"IDA blend","2008",6.8
"IDA only","2008",2.8
"IDA total","2008",4.2
"Latin America & Caribbean","2008",26.4
"Latin America & Caribbean (excluding high income)","2008",25.9
"Latin America & the Caribbean (IDA & IBRD countries)","2008",26.7
"Least developed countries: UN classification","2008",2.2
"Low income","2008",3
"Lower middle income","2008",6.4
"Middle East, North Africa, Afghanistan & Pakistan","2008",14.1
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","2008",11.7
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)","2008",11.6
"North America","2008",74.3
"Small states","2008",25.6
"South Asia","2008",4.1
"South Asia (IDA & IBRD)","2008",4.1
"Sub-Saharan Africa","2008",3.6
"Sub-Saharan Africa (excluding high income)","2008",4.2
"Sub-Saharan Africa (IDA & IBRD countries)","2008",3.8
"Upper middle income","2008",21.2
"World","2008",22.8
"Afghanistan","2008",1.84
"Albania","2008",23.86
"Algeria","2008",10.18
"Andorra","2008",70.04
"Angola","2008",1.9
"Antigua and Barbuda","2008",38
"Argentina","2008",28.1126
"Armenia","2008",6.21
"Aruba","2008",52
"Australia","2008",71.67
"Austria","2008",72.87
"Azerbaijan","2008",17.08
"Bahamas, The","2008",31.54
"Bahrain","2008",51.95
"Bangladesh","2008",2.5
"Barbados","2008",61.4
"Belarus","2008",23
"Belgium","2008",68.8573
"Belize","2008",26.3
"Benin","2008",1.85
"Bermuda","2008",82.3
"Bhutan","2008",6.55
"Bolivia","2008",12.5
"Bosnia and Herzegovina","2008",34.66
"Botswana","2008",6.25
"Brazil","2008",33.83
"Brunei Darussalam","2008",46
"Bulgaria","2008",39.67
"Burkina Faso","2008",0.92
"Burundi","2008",0.81
"Cabo Verde","2008",14
"Cambodia","2008",0.51
"Cameroon","2008",3.4
"Canada","2008",76.7
"Cayman Islands","2008",61
"Central African Republic","2008",1
"Chad","2008",1.19
"Chile","2008",37.3
"China","2008",22.6
"Colombia","2008",25.6
"Comoros","2008",3
"Congo, Dem. Rep.","2008",0.44
"Congo, Rep.","2008",4.28751
"Costa Rica","2008",32.29
"Cote d'Ivoire","2008",1.9
"Croatia","2008",44.24
"Cuba","2008",12.94
"Cyprus","2008",42.31
"Czechia","2008",62.97
"Denmark","2008",85.02
"Djibouti","2008",2.26
"Dominica","2008",41.16
"Dominican Republic","2008",20.82
"Ecuador","2008",18.8
"Egypt, Arab Rep.","2008",18.01
"El Salvador","2008",10.08
"Equatorial Guinea","2008",1.82
"Eritrea","2008",0.47
"Estonia","2008",70.58
"Eswatini","2008",6.85
"Ethiopia","2008",0.45
"Faroe Islands","2008",75.57
"Fiji","2008",13
"Finland","2008",83.67
"France","2008",70.68
"French Polynesia","2008",33.87
"Gabon","2008",7.5
"Gambia, The","2008",6.88
"Georgia","2008",10.01
"Germany","2008",78
"Ghana","2008",4.27
"Gibraltar","2008",58
"Greece","2008",38.2
"Greenland","2008",62.82
"Grenada","2008",23.18
"Guam","2008",48.4187
"Guatemala","2008",8.3
"Guinea","2008",0.92
"Guinea-Bissau","2008",2.35489
"Guyana","2008",18.2
"Haiti","2008",7.6
"Honduras","2008",9.6
"Hong Kong SAR, China","2008",66.7
"Hungary","2008",61
"Iceland","2008",91
"India","2008",4.38
"Indonesia","2008",7.91748
"Iran, Islamic Rep.","2008",12.02
"Iraq","2008",1
"Ireland","2008",65.34
"Israel","2008",59.39
"Italy","2008",44.53
"Jamaica","2008",23.6
"Japan","2008",75.4
"Jordan","2008",23
"Kazakhstan","2008",11
"Kenya","2008",5.2
"Kiribati","2008",7
"Korea, Dem. People's Rep.","2008",0
"Korea, Rep.","2008",81
"Kuwait","2008",42
"Kyrgyz Republic","2008",15.7
"Lao PDR","2008",3.55
"Latvia","2008",63.41
"Lebanon","2008",22.53
"Lesotho","2008",3.58
"Liberia","2008",0.53
"Libya","2008",9
"Liechtenstein","2008",70
"Lithuania","2008",55.22
"Luxembourg","2008",82.23
"Macao SAR, China","2008",49.24
"Madagascar","2008",1.65
"Malawi","2008",0.7
"Malaysia","2008",55.8
"Maldives","2008",23.2
"Mali","2008",1.57
"Malta","2008",50.08
"Marshall Islands","2008",4.6
"Mauritania","2008",1.87
"Mauritius","2008",21.81
"Mexico","2008",21.71
"Micronesia, Fed. Sts.","2008",14.49
"Moldova","2008",23.39
"Monaco","2008",67.25
"Mongolia","2008",9.8
"Montenegro","2008",32.9
"Morocco","2008",33.1
"Mozambique","2008",1.56
"Myanmar","2008",0.22
"Namibia","2008",5.329
"Nepal","2008",1.73
"Netherlands","2008",87.42
"New Caledonia","2008",34.51
"New Zealand","2008",72.03
"Nicaragua","2008",5.3
"Niger","2008",0.7
"Nigeria","2008",8
"North Macedonia","2008",46.04
"Norway","2008",90.57
"Oman","2008",20
"Pakistan","2008",7
"Panama","2008",33.82
"Papua New Guinea","2008",1.15
"Paraguay","2008",14.27
"Peru","2008",30.57
"Philippines","2008",6.22
"Poland","2008",53.13
"Portugal","2008",44.13
"Puerto Rico (US)","2008",38
"Qatar","2008",44.3
"Romania","2008",32.42
"Russian Federation","2008",32
